book_code,person_counter,role
83930,1090,writer
83930,330,translator
47909,1091,writer
77130,1092,writer
34978,1093,writer
115451,1094,writer
76209,1095,writer
29190,1096,writer
98992,67,writer
35250,1097,writer
35250,1098,translator
73816,1076,writer
73816,1943,translator
81773,1099,writer
111915,1100,writer
111915,1101,translator
62115,1102,writer
62115,1103,translator
56391,1104,writer
56391,1105,translator
44406,1107,writer
44406,1108,translator
15095,1110,writer
15095,1111,translator
98865,1114,writer
98865,1115,translator
49652,1116,writer
67780,1117,writer
59589,1118,writer
59589,1119,translator
86087,1120,writer
86087,1121,translator
41527,1125,writer
41527,1126,translator
117463,1127,writer
117463,1128,translator
29242,1129,writer
29242,1130,translator
21048,1131,writer
21048,1132,translator
83126,1134,writer
75606,1133,writer
112461,1135,writer
112461,1136,translator
55079,1137,writer
39340,67,translator
6994,1142,writer
4422,729,writer
4422,1143,translator
39298,67,writer
39298,1144,writer
39298,1145,translator
45909,1146,writer
90912,1147,writer
27149,1148,writer
54204,1149,writer
54204,932,translator
111934,572,writer
111934,1150,translator
98455,1151,writer
98455,1152,writer
107579,1153,writer
48149,1154,writer
48149,1155,translator
38422,1156,writer
38422,1157,translator
60480,1158,writer
60480,1159,translator
42633,1160,writer
42633,1161,translator
27769,80,writer
27769,1162,translator
95365,1163,writer
95365,1164,translator
46563,155,writer
11710,1165,writer
36159,1166,writer
34440,1167,writer
9259,1168,writer
52569,1169,writer
73631,1170,writer
114255,1171,writer
114255,1172,translator
45015,1173,writer
63550,1174,writer
63550,1175,translator
45017,1176,writer
74360,1178,writer
102644,1177,writer
74360,918,translator
29194,1179,writer
29194,1180,translator
29194,1181,translator
94530,1184,writer
94530,1185,translator
90168,1187,writer
58828,1189,writer
58828,1190,translator
52276,1191,writer
67606,1192,writer
67606,1193,translator
52288,1194,writer
52288,1195,translator
36351,1196,writer
51916,1197,writer
51916,713,translator
97608,1198,writer
65481,1199,writer
65481,1200,translator
46703,1201,writer
113867,1202,writer
61658,1203,writer
61658,1204,translator
30100,1206,writer
30100,1207,translator
111968,1209,writer
46569,1211,writer
46569,1212,translator
10402,1213,writer
99381,1214,writer
99381,1215,translator
4448,1216,writer
4448,1217,translator
68299,1218,writer
9069,1219,writer
19358,1220,writer
35338,67,writer
35338,1221,writer
92267,67,writer
92267,1222,writer
8348,1223,writer
61049,1224,writer
61049,1225,translator
8154,1226,writer
44972,1227,writer
44972,1228,translator
10307,1229,writer
10307,1230,translator
42760,1231,writer
19442,1232,writer
19442,1233,translator
99450,67,writer
99450,1235,writer
99450,1236,translator
111455,1237,writer
27782,1239,writer
27782,1240,translator
49027,1241,writer
49027,1242,translator
71040,1243,writer
71040,1244,translator
82234,1247,writer
63162,1250,writer
114247,1251,writer
114247,1252,translator
85144,1255,writer
85144,1256,translator
47195,1257,writer
29663,1258,writer
29663,1259,translator
50212,1260,writer
31491,1261,writer
31491,1262,translator
110551,1263,writer
67650,1264,writer
72064,325,writer
119527,1265,writer
119527,250,translator
109803,1267,writer
112445,67,writer
9545,1268,writer
9545,1269,writer
9545,1270,translator
121519,1271,writer
89980,881,writer
83695,1272,writer
57777,1273,writer
57777,1274,translator
61712,1275,writer
35663,1276,writer
93414,1278,writer
87044,1277,writer
