code,title_persian,title_english,price,discount,grade,code,shabak,page_count,release_year_sh,release_year_mi,exist,earliest_access,print_series,ghate,cover
97956,آسیب شناسی مبانی و فرایند سیاستگذاری فرهنگی در جمهوری اسلامی ایران, Basics and process of cultural policy in the Islamic Republic of Iran,36000,10,3.53,97956,978-9648811421,112,1390,,True,1402-07-06,1,رقعی,شومیز
61796,دایرة المعارف نقوش تزئینی (2), Pugin's Gothic Ornament,160000,20,3.65,61796,‫‭978-9643065935,256,1398,1987,True,1402-07-10,2,رحلی,شومیز
116857,دلیران باختر, The Brave men of Baxteria,15000,25,3.6,116857,978-9642201402,80,1398,,True,1402-07-10,2,وزیری,شومیز
102774,چهار پژوهش در جامعه شناسی فرهنگ, Sociology of culture,135000,25,3.69,102774,978-9643806118,343,1401,,True,1402-07-06,2,رقعی,شومیز
97055,من لوسیل بال هستم!, I Am Lucille Ball,34300,30,3.55,97055,978-6222742645,44,1402,2015,True,1402-07-08,4,خشتی,شومیز
72721,اصول طب داخلی هاریسون, Harrison’s Principles of Internal Medicine,199500,5,3.0,72721,978-6002008510,328,1398,2018,True,1402-07-06,1,وزیری,شومیز
67109,پداگوژی دانشگاهی, University pedagogy,75000,25,3.47,67109,978-6222261221,502,1400,,True,1402-07-08,1,رقعی,شومیز
17924,امپراتور، بازی امپراتور, The Emperor,60000,20,3.73,17924,978-9642091225,256,1400,1978,True,1402-07-08,3,رقعی,شومیز
10591,زندگی داستانی ای. جی. فیکری, The Storied Life of A. J. Fikry,123750,25,3.99,10591,978-600-8211-37-2,256,1402,2013,True,1402-07-08,6,رقعی,شومیز
48020,دایره المعارف نفت, Oil,70000,30,3.82,48020,978-6004132091,72,1395,2007,True,1402-07-08,4,رحلی,زرکوب
50754,جعبه ابزار کارآفرینی اینترنتی, Internet Entrepreneurship Toolbox,32250,25,3.25,50754,978-6006466606,136,1400,,True,1402-07-08,1,وزیری,شومیز
84913,دانشگاه از منظر دانشجویان, Daneshgah Az Manzare Daneshjooyan,11250,25,3.09,84913,978-6008905455,288,1396,,True,1402-07-08,1,رقعی,شومیز
